projection,rank,explained_residual_variance,centered_relative_frobenius_error,original_relative_frobenius_error,parameter_ratio_no_residual,compression_factor_no_residual,mean_expert_relative_error,median_expert_relative_error,p95_expert_relative_error,max_expert_relative_error
gate,0,0.0,1.0,0.989881772937246,0.015625,64.0,0.9900163767550032,0.9906438014261071,0.9926263667474388,0.9928100605780311
gate,1,0.01996483931137971,0.9899672523314195,0.9799505388876394,0.0312504768371582,31.999511726200467,0.9766830018541888,0.9905586192152402,0.9923331745320064,0.9927024338703839
gate,2,0.03888664846339189,0.9803638873074672,0.9704443428915661,0.046875953674316406,21.332899314385692,0.9670643582340294,0.9902596128626888,0.9923296250738629,0.99266174986849
gate,3,0.05772338148738891,0.9707093378105576,0.9608874803186548,0.06250143051147461,15.999633797444211,0.9574136698556965,0.9898110535321052,0.9922260810923186,0.9924056826207093
gate,4,0.07654863042042834,0.9609637712107422,0.9512405215745514,0.07812690734863281,12.799687507629208,0.9453187433581209,0.9895990178198631,0.9921425396400634,0.9923719030496992
gate,5,0.09522312914335868,0.9511975982184991,0.9415731649381781,0.09375238418579102,10.666395406204066,0.93411441640769,0.989243942088421,0.9921417878819387,0.9923657998954348
gate,6,0.11376465785429725,0.9414007340902719,0.9318754277057032,0.10937786102294922,9.142617990949596,0.9226801983575662,0.9891328140290985,0.9920228257827541,0.9923643209177406
gate,7,0.13227688746302754,0.9315165658950852,0.9220912697686419,0.12500333786010742,7.999786382657324,0.9084848261290703,0.9883490383885445,0.9918273778940107,0.9923308874285726
gate,8,0.1505522677922219,0.9216548878011652,0.9123293743728959,0.14062881469726562,7.110918215109182,0.8941521032291161,0.9880438210295507,0.9917876713386091,0.9920482142381922
gate,12,0.22270493091619542,0.8816433911076547,0.872722723088051,0.20313072204589844,4.922938243551583,0.8423799289092271,0.9866802722827213,0.9911755151174643,0.9917885735381122
gate,16,0.29333810737418076,0.8406318413109388,0.8321261374643738,0.26563262939453125,3.7645977539707616,0.7824752760923379,0.9839348489560269,0.9904171946599181,0.9915838338815407
gate,24,0.4284843328210302,0.7559865522474393,0.7483373086554111,0.3906364440917969,2.5599250021972013,0.6595312862880254,0.9710228649599097,0.9889576312707044,0.9904917629013341
gate,32,0.555839209784724,0.6664538920400093,0.6597105602334924,0.5156402587890625,1.9393365489894356,0.5531271390913347,0.6910637238294792,0.9869528317167858,0.9897052828203275
gate,48,0.7953490341879688,0.45238364892205357,0.447806328442783,0.7656478881835938,1.3060834039160978,0.31430260738982857,0.10745680785870552,0.9788999527467342,0.9863772348974398
gate,63,1.0000000000000004,0.0,0.0,1.0000300407409668,0.9999699601614522,0.0,0.0,0.0,0.0
up,0,0.0,1.0,0.9921396866170847,0.015625,64.0,0.9921610625627348,0.9921081900776467,0.9931061530730261,0.9932357150446728
up,1,0.017878542964119656,0.9910204120177749,0.9832306810104494,0.0312504768371582,31.999511726200467,0.9803823697369551,0.9917970046723694,0.992894010675542,0.9931160831848903
up,2,0.035209799593970206,0.9822373442330677,0.9745166508909934,0.046875953674316406,21.332899314385692,0.9697328109828688,0.9906584013677153,0.9928451106405148,0.9929818790538603
up,3,0.052393051039950886,0.9734510511371638,0.9657994208122974,0.06250143051147461,15.999633797444211,0.9607225099504654,0.9898989130566588,0.9925858599289933,0.9928625078494854
up,4,0.06952908463317431,0.9646092034429413,0.9570270728118355,0.07812690734863281,12.799687507629208,0.9515868913060792,0.9889833739431376,0.992538293183374,0.992677714843208
up,5,0.0865952395639825,0.9557221146525896,0.9482098393244378,0.09375238418579102,10.666395406204066,0.9422180768834785,0.987787601101948,0.9924668639127313,0.9926361984595121
up,6,0.10361044818659132,0.9467785125431443,0.9393365367303448,0.10937786102294922,9.142617990949596,0.9323944294751841,0.9852812091375225,0.9921807172724814,0.9924837219737519
up,7,0.12054612828043795,0.9377920194369124,0.9304206802761412,0.12500333786010742,7.999786382657324,0.9225651697943759,0.9840248861401897,0.9918860706946141,0.9924302977046314
up,8,0.13746094438334786,0.9287298076494864,0.921429700313307,0.14062881469726562,7.110918215109182,0.9120126036349572,0.9822263829329854,0.991652470665733,0.9921892447794795
up,12,0.20469742810974423,0.8917973827558903,0.8847875758533653,0.20313072204589844,4.922938243551583,0.8666368809171906,0.9712542613693977,0.990707429041016,0.9917430652443912
up,16,0.2712731454440038,0.8536549973824298,0.8469450015821122,0.26563262939453125,3.7645977539707616,0.822722518990247,0.9631224493002841,0.9897545160616696,0.9913575359117343
up,24,0.40290173371959137,0.7727213380516994,0.7666475061769474,0.3906364440917969,2.5599250021972013,0.7181190352129077,0.914273349431749,0.9884910530210286,0.9901332436074137
up,32,0.5320606807054146,0.6840609032056908,0.678683970133494,0.5156402587890625,1.9393365489894356,0.5976690183305999,0.7029833265691934,0.985993043273266,0.9877599188548257
up,48,0.7809459974717794,0.46803205288550526,0.464353174276576,0.7656478881835938,1.3060834039160978,0.33551970532995024,0.1394240436657086,0.9749491585760123,0.9817734461790789
up,63,0.9999999999999999,0.0,0.0,1.0000300407409668,0.9999699601614522,0.0,0.0,0.0,0.0
down,0,0.0,1.0,0.9921854515869004,0.015625,64.0,0.9922019855085633,0.9921152622275735,0.9930582406778756,0.9933328534696474
down,1,0.01751070528163909,0.9912059799649924,0.9834601528472021,0.0312504768371582,31.999511726200467,0.9799195328040236,0.9918180485937629,0.9928790727283983,0.9930795642006235
down,2,0.03454483344560768,0.9825757815834829,0.9748973955687595,0.046875953674316406,21.332899314385692,0.9715031282389008,0.990692936847707,0.992782258674554,0.9930397081621171
down,3,0.0515734905293822,0.9738719163579047,0.9662615471193677,0.06250143051147461,15.999633797444211,0.9621768818715022,0.9888027735348188,0.9922264203419912,0.9928402716140036
down,4,0.06856077528738004,0.9651109908775363,0.9575690843153093,0.07812690734863281,12.799687507629208,0.9528742260612457,0.9876732273826225,0.9921523431752501,0.9927443037835965
down,5,0.08546369730689644,0.9563139143048706,0.9488407529234144,0.09375238418579102,10.666395406204066,0.9428976425600265,0.9856420495733917,0.9917643883830116,0.9926303327904421
down,6,0.1023083006231285,0.9474659357342994,0.9400619173097409,0.10937786102294922,9.142617990949596,0.932859345197643,0.9845658978286896,0.9915858398178696,0.9923929024035594
down,7,0.11910151826041766,0.9385619221658111,0.9312274845863546,0.12500333786010742,7.999786382657324,0.9223475525766656,0.9820176704866841,0.9915009013002212,0.991836340073401
down,8,0.13584283156094742,0.9296005424046678,0.9223361339612028,0.14062881469726562,7.110918215109182,0.9130821999152645,0.9786584476164575,0.9911189267740034,0.991562551809667
down,12,0.2024850827082239,0.8930369070154806,0.8860582268709233,0.20313072204589844,4.922938243551583,0.87184518272303,0.9614356150522205,0.9903279304661942,0.9911029664111513
down,16,0.26869917511426394,0.855161285890408,0.8484785866208088,0.26563262939453125,3.7645977539707616,0.8287793950711073,0.9393904829992132,0.9883839366056478,0.9902860623232177
down,24,0.3994286918571518,0.7749653593179815,0.768909354999116,0.3906364440917969,2.5599250021972013,0.7318651879360656,0.8748975871177159,0.9862878656380893,0.9890445100482317
down,32,0.5282467661161064,0.6868429470292997,0.6814755795675432,0.5156402587890625,1.9393365489894356,0.6204713786858106,0.6582430205114251,0.9828243775893517,0.9850047163634719
down,48,0.7782491571797379,0.4709042820152117,0.46722437770546793,0.7656478881835938,1.3060834039160978,0.3486510666757829,0.1661426909815592,0.9700440106191381,0.9759797315844614
down,63,0.9999999999999998,0.0,0.0,1.0000300407409668,0.9999699601614522,0.0,0.0,0.0,0.0
