projection,rank,explained_residual_variance,centered_relative_frobenius_error,original_relative_frobenius_error,parameter_ratio_no_residual,compression_factor_no_residual,mean_expert_relative_error,median_expert_relative_error,p95_expert_relative_error,max_expert_relative_error
gate,48,0.7948536334111747,0.45293086292371976,0.4483668151422669,0.7656478881835938,1.3060834039160978,0.3139211355720469,0.10828114615011628,0.9813818905741221,0.9848096744159122
gate,63,1.0,0.0,0.0,1.0000300407409668,0.9999699601614522,0.0,0.0,0.0,0.0
up,0,0.0,1.0,0.9921578958593312,0.015625,64.0,0.9921822865554871,0.9921711692161534,0.9931906219423378,0.9936649656321946
up,1,0.017659696588391827,0.9911308205336006,0.9833582694219495,0.0312504768371582,31.999511726200467,0.9799357612319166,0.9918255936587046,0.9930662086774656,0.9936269306949582
up,2,0.03494139321129512,0.9823739648365611,0.9746700858992311,0.046875953674316406,21.332899314385692,0.9707594259892152,0.9910955926540537,0.992994769183599,0.9935353089955099
up,3,0.05218634409847177,0.9735572175797006,0.9659224804925408,0.06250143051147461,15.999633797444211,0.9604321165357227,0.9899514328475897,0.992847301955027,0.9934674186088143
up,4,0.06939175350818992,0.9646803856676108,0.9571152616207448,0.07812690734863281,12.799687507629208,0.9513926984577281,0.9889627847349723,0.992607290064689,0.9931640270342132
up,5,0.08649290840363949,0.9557756491961702,0.9482803570200585,0.09375238418579102,10.666395406204066,0.9418147560160868,0.9880047620672581,0.9924938125118716,0.9931638949612711
up,6,0.10355073939926214,0.9468100446239139,0.939385061652542,0.10937786102294922,9.142617990949596,0.9310662848832312,0.9872280376794729,0.9924514081149318,0.9930166717453155
up,7,0.12057540961156962,0.9377764074599182,0.9304222672119552,0.12500333786010742,7.999786382657324,0.9196343629256145,0.9861577285341077,0.9922459254498349,0.9929408175934107
up,8,0.13752957557921214,0.9286928579572409,0.9214099518504448,0.14062881469726562,7.110918215109182,0.9092625174204123,0.9851453036131665,0.9920955210931175,0.992940561526687
up,12,0.2047525565963205,0.8917664735813293,0.8847731480263475,0.20313072204589844,4.922938243551583,0.865009097016744,0.9776099765846941,0.9915353218399032,0.9919966340822008
up,16,0.27144715002017455,0.8535530739091891,0.8468594218140052,0.26563262939453125,3.7645977539707616,0.8163157873853857,0.9658731402714515,0.9908931787704861,0.9916787327042641
up,24,0.40299832499934823,0.772658834803985,0.7665995637562444,0.3906364440917969,2.5599250021972013,0.7117317738145488,0.9357018147388422,0.9892131253108013,0.9906033436042742
up,32,0.5320040405162128,0.6841023019138199,0.6787375004193406,0.5156402587890625,1.9393365489894356,0.5957573150004476,0.6575735248313712,0.9857447562742866,0.9883901628634516
up,48,0.7810343111372873,0.4679376976294095,0.4642680814732549,0.7656478881835938,1.3060834039160978,0.33328738730048324,0.13824904649472902,0.973338329591447,0.9816157196029215
up,63,1.0,0.0,0.0,1.0000300407409668,0.9999699601614522,0.0,0.0,0.0,0.0
down,0,0.0,1.0,0.9921392318693009,0.015625,64.0,0.9921555799537297,0.9921263480133389,0.992899969311846,0.9935194315821962
down,1,0.017597734228145364,0.9911620784573302,0.9833707831786352,0.0312504768371582,31.999511726200467,0.9799804635370928,0.9917646239871956,0.9928066269454104,0.9933621562075233
down,2,0.034772311984910986,0.9824600185326062,0.9747371281292392,0.046875953674316406,21.332899314385692,0.9709188665524696,0.9903408327201417,0.9925506020308453,0.9933603875548649
down,3,0.05180094729670925,0.9737551297442754,0.966100666453277,0.06250143051147461,15.999633797444211,0.960468016668241,0.9896763793994448,0.992462313295171,0.9933480435375618
down,4,0.06877218510837907,0.9650014584919656,0.9574158057809738,0.07812690734863281,12.799687507629208,0.9515977734997486,0.9873653202119509,0.9922445158242513,0.993030332335134
down,5,0.08571430766369162,0.9561828759898958,0.9486665441111942,0.09375238418579102,10.666395406204066,0.9417126184668481,0.9862325643911847,0.9917987608272848,0.992971616619184
down,6,0.102571809168117,0.9473268658873151,0.939880149050593,0.10937786102294922,9.142617990949596,0.9326634224356791,0.9859556806185309,0.9912599773322839,0.9929143765652384
down,7,0.11939245461756523,0.9384069188696527,0.9310303196681745,0.12500333786010742,7.999786382657324,0.9230035339831071,0.9835434497839313,0.991065821183408,0.9925073880023735
down,8,0.13611726484343956,0.9294529225068694,0.9221467085946423,0.14062881469726562,7.110918215109182,0.9115957647478559,0.9817387656034404,0.9908264194016241,0.9919756533019453
down,12,0.20275766487446958,0.8928842786865107,0.8858655224042096,0.20313072204589844,4.922938243551583,0.8703301239250811,0.9636380210333784,0.9890454861998901,0.9908949343190795
down,16,0.26897532818923386,0.8549998080764499,0.8482788528333688,0.26563262939453125,3.7645977539707616,0.8256649346367626,0.9337452398971866,0.9877525327407187,0.9901005697050363
down,24,0.39965448893308103,0.7748196635778669,0.7687289858593751,0.3906364440917969,2.5599250021972013,0.7268826734649514,0.8739106536624222,0.9851799458227383,0.9888500712066587
down,32,0.5282432809520408,0.6868454841141196,0.6814463510218808,0.5156402587890625,1.9393365489894356,0.6183067842430994,0.6758684141925473,0.9814430295333035,0.9858375468964308
down,48,0.777972709290967,0.47119771933768195,0.4674937433222542,0.7656478881835938,1.3060834039160978,0.34697348131272776,0.16413193678969157,0.9633022341917219,0.9774836417369333
down,63,1.0000000000000002,0.0,0.0,1.0000300407409668,0.9999699601614522,0.0,0.0,0.0,0.0
