projection,runs,rank90_mean,rank90_std,rank95_mean,rank95_std,rank99_mean,rank99_std,common_energy_fraction_mean,common_energy_fraction_std,stable_rank_mean,stable_rank_std,participation_ratio_mean,participation_ratio_std,geometric_screen
down,3,57.0,0.0,60.0,0.0,63.0,0.0,0.01563552443837896,5.9223536240902314e-05,56.9459270146019,0.1457284345080096,62.85265589449261,0.0018149613631776643,FAIL
gate,3,56.0,0.0,60.0,0.0,63.0,0.0,0.020029904000887725,0.0001167072443270137,50.10991717884841,0.022294997317065416,62.20377241263585,0.012519158228225526,FAIL
up,3,56.0,0.0,60.0,0.0,63.0,0.0,0.015637873777929193,1.875255717844328e-05,56.253868895165084,0.3494134687387093,62.79003302127512,0.004457835402326781,FAIL
