projection,rank,runs,explained_residual_variance_mean,explained_residual_variance_std,centered_relative_frobenius_error_mean,centered_relative_frobenius_error_std,original_relative_frobenius_error_mean,original_relative_frobenius_error_std,mean_expert_relative_error_mean,mean_expert_relative_error_std,p95_expert_relative_error_mean,p95_expert_relative_error_std,max_expert_relative_error_mean,max_expert_relative_error_std,parameter_ratio_no_residual,compression_factor_no_residual
gate,32,3,0.5554176018704281,0.00043540274738111613,0.6667700706120012,0.000326494193551342,0.6600586260559541,0.0003371848521364251,0.5515051078080898,0.0034433818231802897,0.9872431180880833,0.0002758398238225062,0.9892648361708378,0.000570227791510891,0.5156402587890625,1.9393365489894356
gate,48,3,0.7950690365061749,0.00025393863017336563,0.4526929544822374,0.00028050659943044726,0.4481363291690153,0.0002931957104396277,0.3142406872032724,0.00029353135761314323,0.9800209588702032,0.0012582436401072238,0.9860972201220058,0.0011728812378023839,0.7656478881835938,1.3060834039160978
gate,63,3,1.0000000000000002,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000300407409668,0.9999699601614522
up,0,3,0.0,0.0,1.0,0.0,0.9921502538237489,9.450481214847746e-06,0.9921738801583099,1.1278673262653005e-05,0.9931046355435263,8.67551184259437e-05,0.9936005916999394,0.0003373283735840865,0.015625,64.0
up,1,3,0.017777011730970346,0.00011027367269640356,0.9910716352543137,5.563322465262191e-05,0.983291974798516,6.394104278984409e-05,0.980043046676406,0.00030040952155896454,0.9929839760699192,8.63590467800214e-05,0.993547883921468,0.0003982057426644956,0.0312504768371582,31.999511726200467
up,2,3,0.035104896308937844,0.00014347804742767317,0.9822907411430584,7.303098716115283e-05,0.9745800085248059,8.013135367651639e-05,0.9702153777949238,0.0005160615884612558,0.9928998039666999,8.255779046084992e-05,0.9933536002913472,0.00032194680801923663,0.046875953674316406,21.332899314385692
up,3,3,0.05231615205798634,0.00011305511860572442,0.9734905473060566,5.8065931121461584e-05,0.9658488938871818,6.497705740779606e-05,0.960596000641527,0.00014876068167377627,0.9927417044820692,0.00013777358251656553,0.993236767765409,0.0003270274162362381,0.06250143051147461,15.999633797444211
up,4,3,0.06945415717469759,6.951685764138605e-05,0.9646480404581487,3.603241503979504e-05,0.9570757984166581,4.4818082899133864e-05,0.9513780421344752,0.0002165496369451796,0.9926189971388961,8.714924680976013e-05,0.9930683114505108,0.0003526201927566353,0.07812690734863281,12.799687507629208
up,5,3,0.08651851343080567,6.766049219524494e-05,0.955762253771263,3.539640809863489e-05,0.9482597628759025,4.3455114183692256e-05,0.9418246848856172,0.00038852272598948313,0.9924882190195703,1.9180149074887515e-05,0.9930535664509339,0.00037459422272731376,0.09375238418579102,10.666395406204066
up,6,3,0.10354536144262806,6.793556023014391e-05,0.9468128842064422,3.587583645521015e-05,0.939380643539138,4.2072097937136834e-05,0.9316826286192791,0.0006691980727572913,0.9923630094756882,0.00015789358461292536,0.9928319715145597,0.00030177830830974606,0.10937786102294922,9.142617990949596
up,7,3,0.12052977839947587,5.563803564564725e-05,0.937800736304836,2.9663914261401626e-05,0.9304392385618935,3.077979614198326e-05,0.9207541803317908,0.0015829391441760912,0.9921432276835117,0.00022420325553500016,0.9927705133123914,0.00029463542459437497,0.12500333786010742,7.999786382657324
up,8,3,0.13747662523328014,4.710967799184409e-05,0.9287213652855586,2.5362808129888222e-05,0.9214311382168147,2.1940684514797495e-05,0.9100059547671129,0.0017571343310117506,0.9919147587870957,0.00023250433162977783,0.9926865162818529,0.00043068372725949363,0.14062881469726562,7.110918215109182
up,12,3,0.20475830663322506,6.394772319888668e-05,0.8917632491360771,3.585474915663188e-05,0.8847631338326051,3.0699569809666274e-05,0.8657728982372145,0.0008185031156078734,0.9912349549146567,0.00045831486173694464,0.9920449554827512,0.00032872546737112643,0.20313072204589844,4.922938243551583
up,16,3,0.27143121396369435,0.00015073362582971111,0.8535624059427889,8.829606514502651e-05,0.8468621572794491,8.151100249527013e-05,0.8202082638264243,0.0034185044801652983,0.9902578131997365,0.0005807062461311975,0.9916827695343186,0.00032727071075589875,0.26563262939453125,3.7645977539707616
up,24,3,0.40311747930459224,0.0002940253750882889,0.7725817086579364,0.0001902994666912508,0.7665171378378443,0.00018583774090711341,0.7152316285218768,0.0032373749353822403,0.9885288981809612,0.0006661113541895952,0.9904097381001772,0.0002457670443604423,0.3906364440917969,2.5599250021972013
up,32,3,0.532256145909284,0.0003886407173633517,0.6839179777275213,0.0002841614337476469,0.6785493948439947,0.00028072865596273736,0.5943692821618151,0.004170735679206583,0.9856708954456459,0.0003647310657740681,0.9886437227959574,0.0010341659989546099,0.5156402587890625,1.9393365489894356
up,48,3,0.7811236173796833,0.0002353444351674095,0.46784221745584387,0.0002515541167857191,0.4641697740946263,0.00024764805381731947,0.33498602194031113,0.0015045412947666673,0.9728314932066522,0.0024113688223808397,0.9809691486422212,0.0012589614633147675,0.7656478881835938,1.3060834039160978
up,63,3,1.0000000000000002,2.9373740229761033e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000300407409668,0.9999699601614522
