projection,rank,explained_residual_variance,centered_relative_frobenius_error,original_relative_frobenius_error,parameter_ratio_no_residual,compression_factor_no_residual,mean_expert_relative_error,median_expert_relative_error,p95_expert_relative_error,max_expert_relative_error
gate,0,0.0,1.0,0.9899980913626916,0.015625,64.0,0.9901267989576203,0.9906786654127584,0.9927402013156755,0.9929986523629556
gate,1,0.01995646596962014,0.9899714814227629,0.9800698771120315,0.0312504768371582,31.999511726200467,0.9765375655432689,0.9903677204562826,0.9924162766918111,0.9929242949511319
gate,2,0.03884808583281912,0.9803835546188955,0.9705778478760776,0.046875953674316406,21.332899314385692,0.9676787017873748,0.9901781166625764,0.9923387495344475,0.992880266430676
gate,3,0.057612573371189774,0.9707664119801479,0.9610568950193548,0.06250143051147461,15.999633797444211,0.957709096084346,0.9895928388859538,0.9921647738894722,0.992867296036573
gate,4,0.07631599277293206,0.9610848075102779,0.951472125072855,0.07812690734863281,12.799687507629208,0.9462758013009176,0.9891469596682569,0.9921469114351525,0.9928672956831387
gate,5,0.09491838520001447,0.9513577743414858,0.9418423808011291,0.09375238418579102,10.666395406204066,0.93488853717087,0.988947156851663,0.9920694705786111,0.9927942496422559
gate,6,0.11344191862650205,0.9415721328573281,0.9321546144090535,0.10937786102294922,9.142617990949596,0.9213342113214151,0.9887028505701125,0.9919771133093914,0.9927037434933307
gate,7,0.13184518691496602,0.931748256282261,0.9224289953499544,0.12500333786010742,7.999786382657324,0.9072003015130259,0.9883650985804535,0.9918632722876259,0.9924937559478806
gate,8,0.15021144057530503,0.9218397688452667,0.9126196116990389,0.14062881469726562,7.110918215109182,0.8945007107441999,0.9879726125716435,0.9917692959223905,0.9924904514722155
gate,12,0.2222847484362703,0.8818816539444109,0.8730611542127403,0.20313072204589844,4.922938243551583,0.842659093031316,0.9864217527845314,0.9911781163090152,0.9924593287041911
gate,16,0.29298298623117086,0.8408430375336582,0.8324330022939297,0.26563262939453125,3.7645977539707616,0.7803616656412464,0.9844581242697608,0.990622594173235,0.9919487796169735
gate,24,0.4279024517928918,0.7563713031356413,0.7488061464657966,0.3906364440917969,2.5599250021972013,0.6621049740188366,0.9599837130384219,0.9893026417784219,0.9903409304012415
gate,32,0.5554439911412173,0.6667503347271619,0.660081558795326,0.5156402587890625,1.9393365489894356,0.5475502665880773,0.6162886199427684,0.9875017864928934,0.9894684816889279
gate,48,0.7950044419193814,0.45276435160093886,0.44823584392199606,0.7656478881835938,1.3060834039160978,0.31449831864794175,0.1139934589250966,0.9797810332897534,0.9871047510526656
gate,63,1.0000000000000002,0.0,0.0,1.0000300407409668,0.9999699601614522,0.0,0.0,0.0,0.0
up,0,0.0,1.0,0.992153178994831,0.015625,64.0,0.9921782913567077,0.9921524776437742,0.9930171316152153,0.9939010944229507
up,1,0.01779279564039955,0.9910636732115655,0.9832869739631491,0.0312504768371582,31.999511726200467,0.9798110090603459,0.991687853825181,0.9929917088567497,0.9939006378845552
up,2,0.0351634961215482,0.9822609143595463,0.9745532887841933,0.046875953674316406,21.332899314385692,0.9701538964126876,0.9912602684440506,0.9928595320759859,0.9935436128246713
up,3,0.05236906103553636,0.9734633732013054,0.9658247803567067,0.06250143051147461,15.999633797444211,0.9606333754383927,0.9907041230467353,0.9927919515621872,0.9933803768379273
up,4,0.06944163338272852,0.9646545322638939,0.9570850608173941,0.07812690734863281,12.799687507629208,0.9511545366396184,0.9895660127737509,0.9927114081686254,0.993363192474111
up,5,0.08646739232479499,0.955788997465029,0.948289092283211,0.09375238418579102,10.666395406204066,0.9414412217572865,0.9875976654967811,0.9925039806341082,0.9933606059320185
up,6,0.10347489674203074,0.9468500954522682,0.9394203322345271,0.10937786102294922,9.142617990949596,0.9315871714994216,0.9864473386043175,0.9924569030396514,0.9929955208246117
up,7,0.12046779730642006,0.9378337820176772,0.9304747681975839,0.12500333786010742,7.999786382657324,0.920063008275382,0.9847488131008154,0.9922976869060862,0.9929404246391322
up,8,0.13743935573728042,0.9287414302499484,0.9214537624866924,0.14062881469726562,7.110918215109182,0.9087427432459692,0.983752512176273,0.9919962846024363,0.9929297425393925
up,12,0.20482493519361047,0.8917258910710116,0.8847286776181026,0.20313072204589844,4.922938243551583,0.8656727167777089,0.9767142846824209,0.9914621138630508,0.9923951671216619
up,16,0.2715733464269047,0.8534791465367478,0.8467820484422297,0.26563262939453125,3.7645977539707616,0.8215864851036403,0.9621232943994226,0.9901257447670536,0.9920120399869576
up,24,0.4034523791948372,0.7723649531181248,0.7663043435803412,0.3906364440917969,2.5599250021972013,0.7158440765381741,0.931478794226523,0.987882516211054,0.9904926270888438
up,32,0.532703716506225,0.6835907280630533,0.6782267139791495,0.5156402587890625,1.9393365489894356,0.5896815131543975,0.632651920335779,0.985274886789385,0.9897810866695947
up,48,0.781390543529983,0.4675569018526168,0.46388806653404796,0.7656478881835938,1.3060834039160978,0.3361509731904999,0.15663191085320805,0.9702069914524973,0.9795182801446629
up,63,1.0000000000000004,0.0,0.0,1.0000300407409668,0.9999699601614522,0.0,0.0,0.0,0.0
down,0,0.0,1.0,0.9921296290958932,0.015625,64.0,0.9921475193441586,0.9920534049378957,0.9931291874753934,0.9935012151769878
down,1,0.01757334550688752,0.9911743814753853,0.9833734714625253,0.0312504768371582,31.999511726200467,0.9801518500596886,0.9916364671710874,0.9930104738191406,0.9932116301467301
down,2,0.03466321514105173,0.9825155392455369,0.9747827775326261,0.046875953674316406,21.332899314385692,0.970764079511734,0.9907831138262311,0.9929324741065622,0.9932069275033932
down,3,0.05170069653442542,0.9738066047555718,0.9661423855872766,0.06250143051147461,15.999633797444211,0.9620356268463828,0.9892250846205841,0.9927420980076695,0.9931452684934846
down,4,0.06867157663458458,0.9650535857481776,0.9574582560860012,0.07812690734863281,12.799687507629208,0.9522734928539587,0.9874722340984528,0.9925192963445398,0.9930964694785686
down,5,0.08555712833361351,0.956265063497766,0.9487389027653993,0.09375238418579102,10.666395406204066,0.943121824042882,0.9865071565362343,0.9921848878663725,0.9930454687925935
down,6,0.1023876039593247,0.9474240845791685,0.9399675056300465,0.10937786102294922,9.142617990949596,0.9331819954073971,0.9848401198152454,0.9920760970038105,0.9929836824490823
down,7,0.1191807254804015,0.9385197251627685,0.9311332268249172,0.12500333786010742,7.999786382657324,0.923868304431434,0.9833017002580593,0.9919239177362941,0.9929525598126155
down,8,0.13595372298427047,0.9295408958274668,0.922225064206769,0.14062881469726562,7.110918215109182,0.9136285471691067,0.9784431230890325,0.9917920353406648,0.9926784075463307
down,12,0.2026960164962837,0.8929188000617505,0.8858911979180145,0.20313072204589844,4.922938243551583,0.8691135077473211,0.9693888546770332,0.9900544885476007,0.9915917240193443
down,16,0.2688100156874709,0.8550964766109898,0.8483665501812665,0.26563262939453125,3.7645977539707616,0.8238769572710022,0.9388581188623102,0.9883311092316269,0.9904147960897262
down,24,0.3994117403315161,0.7749762961978153,0.7688769453048475,0.3906364440917969,2.5599250021972013,0.7274054767127969,0.8606421635667914,0.9855143453807358,0.9884943462441304
down,32,0.5278838654424438,0.6871070764863044,0.6816992889435207,0.5156402587890625,1.9393365489894356,0.6179340004560284,0.6383413406591136,0.9821526817669493,0.9831840318543527
down,48,0.7779502492630347,0.471221551647381,0.4675128632579074,0.7656478881835938,1.3060834039160978,0.3441199147351307,0.1725099544233499,0.964939744833319,0.9713135983161862
down,63,0.9999999999999998,0.0,0.0,1.0000300407409668,0.9999699601614522,0.0,0.0,0.0,0.0
